,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
0,2007-01-02,0.0,0.0,0.0,10000000.0,10000000.0,1.0
1,2007-01-03,0.0,0.0,0.0,10000000.0,10000000.0,1.0
2,2007-01-04,0.0,0.0,0.0,10000000.0,10000000.0,1.0
3,2007-01-05,0.0,0.0,0.0,10000000.0,10000000.0,1.0
4,2007-01-08,1999999.8499999999,999999.9249999999,0.0,9000000.075,10000000.0,1.0
5,2007-01-09,3999989.48,1999994.74,15839.34999999986,8015844.609999999,10015839.35,1.001583935
6,2007-01-10,6009490.54,3004745.27,9914.080000000075,7021008.16,10025753.43,1.002575343
7,2007-01-11,8020587.4,4010293.7,340957.9800000002,6356417.71,10366711.41,1.036671141
8,2007-01-12,10366694.58,5183347.29,139214.53999999957,5322578.659999999,10505925.95,1.050592595
9,2007-01-16,10505914.11,5252957.055,177629.49000000022,5430598.385,10683555.44,1.0683555439999999
10,2007-01-17,10683539.91,5341769.955,-1193.6699999999255,5340591.8149999995,10682361.77,1.068236177
11,2007-01-18,10682347.8,5341173.9,-67276.65000000037,5273911.219999999,10615085.12,1.0615085119999998
12,2007-01-19,10615070.91,5307535.455,202134.0300000012,5509683.695,10817219.15,1.0817219150000001
13,2007-01-22,10817207.75,5408603.875,-107951.04000000097,5300664.234999999,10709268.11,1.0709268109999999
14,2007-01-23,10709254.84,5354627.42,285178.0999999996,5639818.789999999,10994446.209999999,1.099444621
15,2007-01-24,10994438.09,5497219.045,83728.65000000084,5580955.8149999995,11078174.86,1.1078174859999999
16,2007-01-25,11078162.690000001,5539081.345000001,-301800.6299999999,5237292.885,10776374.23,1.077637423
17,2007-01-26,10776363.84,5388181.92,-9364.450000000186,5378827.860000001,10767009.780000001,1.076700978
18,2007-01-29,10766997.92,5383498.96,-11977.590000002412,5371533.2299999995,10755032.19,1.075503219
19,2007-01-30,10755019.76,5377509.88,147744.15999999898,5525266.469999998,10902776.349999998,1.0902776349999999
20,2007-01-31,10902765.25,5451382.625,238587.54000000015,5689981.264999999,11141363.889999999,1.1141363889999998
21,2007-02-01,11141349.42,5570674.71,70625.20000000112,5641314.38,11211989.09,1.121198909
22,2007-02-02,11211977.76,5605988.88,25806.77999999933,5631806.989999999,11237795.87,1.123779587
23,2007-02-05,11237780.2,5618890.1,-30076.660000000615,5588829.109999999,11207719.209999999,1.120771921
24,2007-02-06,11207711.31,5603855.655,222571.7100000002,5826435.265,11430290.92,1.143029092
25,2007-02-07,11430285.01,5715142.505,102971.5399999991,5818119.954999999,11533262.459999999,1.153326246
26,2007-02-08,11533252.38,5766626.19,-56668.24000000022,5709968.029999998,11476594.219999999,1.1476594219999998
27,2007-02-09,11476589.129999999,5738294.5649999995,-248143.05999999866,5490156.595000001,11228451.16,1.122845116
28,2007-02-12,11228445.66,5614222.83,-201339.16000000015,5412889.17,11027112.0,1.1027112
29,2007-02-13,11027095.760000002,5513547.880000001,313334.21999999974,5826898.339999998,11340446.219999999,1.1340446219999998
30,2007-02-14,11340433.5,5670216.75,309412.71999999974,5979642.189999998,11649858.939999998,1.1649858939999997
31,2007-02-15,11649840.25,5824920.125,125548.39000000153,5950487.204999998,11775407.329999998,1.1775407329999998
32,2007-02-16,11775400.879999999,5887700.4399999995,11799.02999999933,5899505.919999998,11787206.359999998,1.1787206359999998
33,2007-02-20,11787186.24,5893593.12,230924.02000000048,6124537.259999999,12018130.379999999,1.2018130379999998
34,2007-02-21,12018114.3,6009057.15,75316.47999999998,6084389.709999999,12093446.86,1.209344686
35,2007-02-22,12093430.620000001,6046715.3100000005,61439.0,6108170.549999999,12154885.86,1.215488586
36,2007-02-23,12154870.69,6077435.345,-397605.21999999834,5679845.295000001,11757280.64,1.175728064
37,2007-02-26,11757270.139999999,5878635.069999999,65488.550000000745,5944134.120000002,11822769.190000001,1.1822769190000002
38,2007-02-27,11822751.33,5911375.665,-2000406.890000001,3910986.6350000007,9822362.3,0.98223623
39,2007-02-28,9822354.35,4911177.175,781642.7300000001,5692827.855000001,10604005.030000001,1.060400503
40,2007-03-01,10603990.799999999,5301995.399999999,-355199.52999999933,4946810.100000002,10248805.500000002,1.0248805500000002
41,2007-03-02,8199022.16,4099511.08,-418831.50000000006,5730462.920000002,9829974.000000002,0.9829974000000001
42,2007-03-05,5897967.71,2948983.855,-226744.86,6654245.285000002,9603229.140000002,0.9603229140000002
43,2007-03-06,3841287.26,1920643.63,346736.33000000054,8029321.840000003,9949965.470000003,0.9949965470000003
44,2007-03-07,1989984.75,994992.375,-8157.1699999999255,8946815.925000003,9941808.300000003,0.9941808300000002
45,2007-03-08,0.0,0.0,59260.50999999995,10001068.810000002,10001068.810000002,1.0001068810000002
46,2007-03-09,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
47,2007-03-12,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
48,2007-03-13,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
49,2007-03-14,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
50,2007-03-15,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
51,2007-03-16,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
52,2007-03-19,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
53,2007-03-20,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
54,2007-03-21,0.0,0.0,0.0,10001068.810000002,10001068.810000002,1.0001068810000002
55,2007-03-22,2000192.6,1000096.3,0.0,9000972.510000002,10001068.810000002,1.0001068810000002
56,2007-03-23,4000420.6199999996,2000210.3099999998,-14679.119999999763,7986179.380000004,9986389.690000003,0.9986389690000003
57,2007-03-26,3994551.1499999994,1997275.5749999997,14419.45999999973,8003533.575000003,10000809.150000002,1.0000809150000003
58,2007-03-27,4000301.3800000004,2000150.6900000002,-77255.15000000049,7923403.310000001,9923554.000000002,0.9923554000000002
59,2007-03-28,3969405.37,1984702.685,-179105.0099999999,7759746.305000002,9744448.990000002,0.9744448990000002
60,2007-03-29,3897766.0500000003,1948883.0250000001,12834.919999999809,7808400.885000002,9757283.910000002,0.9757283910000002
61,2007-03-30,3902913.3600000003,1951456.6800000002,42248.61000000025,7848075.840000002,9799532.520000001,0.9799532520000002
62,2007-04-02,3919790.94,1959895.47,-103065.11999999965,7736571.9300000025,9696467.400000002,0.9696467400000002
63,2007-04-03,1939282.59,969641.295,128904.40000000026,8855730.505000003,9825371.800000003,0.9825371800000002
64,2007-04-04,1965050.26,982525.13,7457.930000000168,8850304.600000001,9832829.730000002,0.9832829730000002
65,2007-04-05,1966555.06,983277.53,25985.03999999998,8875537.240000002,9858814.770000001,0.9858814770000002
66,2007-04-09,3943511.83,1971755.915,-1992.1999999999534,7885066.655000002,9856822.570000002,0.9856822570000002
67,2007-04-10,5914073.37,2957036.685,99693.42000000016,6999479.305000002,9956515.990000002,0.9956515990000002
68,2007-04-11,7965197.15,3982598.575,-168374.54000000027,5805542.875000001,9788141.450000001,0.9788141450000001
69,2007-04-12,9788131.49,4894065.745,134725.82000000076,5028801.525000001,9922867.270000001,0.9922867270000001
70,2007-04-13,9922854.91,4961427.455,139724.58000000054,5101164.395000001,10062591.850000001,1.0062591850000002
71,2007-04-16,10062578.09,5031289.045,454698.3800000008,5486001.185000002,10517290.230000002,1.0517290230000003
72,2007-04-17,10517280.84,5258640.42,-47102.08999999985,5211547.7200000025,10470188.140000002,1.0470188140000003
73,2007-04-18,10470171.39,5235085.695,-26842.94000000041,5208259.505000003,10443345.200000003,1.0443345200000003
74,2007-04-19,10443333.059999999,5221666.529999999,-40091.96999999927,5181586.700000005,10403253.230000004,1.0403253230000005
75,2007-04-20,10403245.1,5201622.55,22278.249999999534,5223908.930000004,10425531.480000004,1.0425531480000003
76,2007-04-23,10425514.770000001,5212757.385000001,-180566.18000000063,5032207.915000004,10244965.300000004,1.0244965300000004
77,2007-04-24,10244948.63,5122474.315,1971.5400000000373,5124462.525000003,10246936.840000004,1.0246936840000003
78,2007-04-25,10246919.59,5123459.795,148388.35000000056,5271865.395000005,10395325.190000005,1.0395325190000004
79,2007-04-26,10395313.16,5197656.58,-78537.19000000088,5119131.420000004,10316788.000000004,1.0316788000000003
80,2007-04-27,10316781.92,5158390.96,68913.36000000022,5227310.400000003,10385701.360000003,1.0385701360000004
81,2007-04-30,10385699.94,5192849.97,-247083.73000000033,4945767.660000003,10138617.630000003,1.0138617630000002
82,2007-05-01,10138615.19,5069307.595,7493.289999999106,5076803.325000002,10146110.920000002,1.0146110920000002
83,2007-05-02,10146105.73,5073052.865,91497.09999999934,5164555.155000001,10237608.020000001,1.0237608020000002
84,2007-05-03,10237591.57,5118795.785,66688.49000000022,5185500.7250000015,10304296.510000002,1.0304296510000002
85,2007-05-04,10304278.030000001,5152139.015000001,-8035.2400000002235,5144122.255000001,10296261.270000001,1.0296261270000002
86,2007-05-07,10296248.860000001,5148124.430000001,-36974.24000000092,5111162.600000001,10259287.030000001,1.0259287030000002
87,2007-05-08,10259276.28,5129638.14,-107201.09999999916,5022447.790000002,10152085.930000002,1.015208593
88,2007-05-09,10152076.09,5076038.045,32438.009999999776,5108485.895000001,10184523.940000001,1.018452394
89,2007-05-10,10184504.36,5092252.18,-277455.41000000015,4814816.3500000015,9907068.530000001,0.9907068530000002
90,2007-05-11,9907061.690000001,4953530.845000001,157298.4200000004,5110836.105,10064366.950000001,1.006436695
91,2007-05-14,10064358.350000001,5032179.175000001,-153697.54000000004,4878490.234999999,9910669.41,0.991066941
92,2007-05-15,9910660.62,4955330.31,-82672.04999999981,4872667.05,9827997.36,0.9827997359999999
93,2007-05-16,9827992.24,4913996.12,102938.0999999987,5016939.339999997,9930935.459999997,0.9930935459999998
94,2007-05-17,9930914.16,4965457.08,-79834.54999999981,4885643.829999996,9851100.909999996,0.9851100909999997
95,2007-05-18,9851081.85,4925540.925,120974.86000000127,5046534.844999998,9972075.769999998,0.9972075769999997
96,2007-05-21,9972068.96,4986034.48,131861.31000000006,5117902.599999998,10103937.079999998,1.0103937079999998
97,2007-05-22,10103910.92,5051955.46,-45024.799999999814,5006956.8199999975,10058912.279999997,1.0058912279999996
98,2007-05-23,10058898.15,5029449.075,17092.99000000069,5046556.1949999975,10076005.269999998,1.0076005269999997
99,2007-05-24,10075997.65,5037998.825,-275371.3000000003,4762635.144999997,9800633.969999997,0.9800633969999997
100,2007-05-25,9800621.200000001,4900310.600000001,70193.80999999982,4970517.179999997,9870827.779999997,0.9870827779999998
