,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
0,2007-01-02,0.0,0.0,0.0,10000000.0,10000000.0,1.0
1,2007-01-03,0.0,0.0,0.0,10000000.0,10000000.0,1.0
2,2007-01-04,9999973.94,4999986.97,0.0,5000013.03,10000000.0,1.0
3,2007-01-05,9999986.36,4999993.18,114094.80000000144,5114101.620000001,10114094.8,1.01140948
4,2007-01-08,11327762.78,5663881.39,56248.55000000005,4506461.960000002,10170343.350000001,1.0170343350000002
5,2007-01-09,12204392.97,6102196.485,-10201.349999999395,4057945.5150000015,10160142.000000002,1.0160142
6,2007-01-10,12598553.98,6299276.99,13991.569999999832,3874856.580000002,10174133.570000002,1.0174133570000001
7,2007-01-11,12615906.12,6307953.06,46650.45999999996,3912830.9700000016,10220784.030000001,1.022078403
8,2007-01-12,12264913.92,6132456.96,-37456.46000000043,4050870.6100000003,10183327.57,1.018332757
9,2007-01-16,11201640.2,5600820.1,-24454.180000000168,4558053.290000001,10158873.39,1.015887339
10,2007-01-17,10158863.76,5079431.88,-5495.360000000335,5073946.150000001,10153378.030000001,1.0153378030000002
11,2007-01-18,11168700.809999999,5584350.404999999,-101404.05000000075,4467623.575000001,10051973.98,1.005197398
12,2007-01-19,12062346.77,6031173.385,87435.49999999919,4108236.0950000007,10139409.48,1.0139409480000001
13,2007-01-22,13181223.33,6590611.665,-57179.13000000082,3491618.6849999996,10082230.35,1.0082230349999999
14,2007-01-23,14115100.93,7057550.465,174777.10000000102,3199456.9850000013,10257007.450000001,1.0257007450000002
15,2007-01-24,15385496.639999999,7692748.319999999,35523.37999999942,2599782.5100000007,10292530.83,1.029253083
16,2007-01-25,16468038.82,8234019.41,-127737.86999999965,1930773.5500000007,10164792.96,1.0164792960000002
17,2007-01-26,17280131.4,8640065.7,3543.5500000002794,1528270.8100000024,10168336.510000002,1.0168336510000002
18,2007-01-29,18302987.68,9151493.84,-20547.29999999958,996295.3700000029,10147789.210000003,1.0147789210000002
19,2007-01-30,19280786.17,9640393.085,57993.9700000016,565390.0950000025,10205783.180000003,1.0205783180000003
20,2007-01-31,20411556.07,10205778.035,83492.66000000242,83497.80500000529,10289275.840000005,1.0289275840000005
21,2007-02-01,19495452.96,9747726.48,-3633.019999999553,537916.3400000054,10285642.820000006,1.0285642820000005
22,2007-02-02,18405863.400000002,9202931.700000001,24627.119999998133,1107338.240000002,10310269.940000003,1.0310269940000003
23,2007-02-05,17364640.1,8682320.05,-44736.349999998696,1583213.5400000028,10265533.590000004,1.0265533590000004
24,2007-02-06,16208714.82,8104357.41,30522.77999999933,2191698.9600000028,10296056.370000003,1.0296056370000002
25,2007-02-07,15173105.070000002,7586552.535000001,95918.28999999864,2805422.125000001,10391974.660000002,1.0391974660000003
26,2007-02-08,14220575.36,7110287.68,-38993.89999999991,3242693.080000002,10352980.760000002,1.0352980760000001
27,2007-02-09,13077440.41,6538720.205,10853.77000000095,3825114.325000003,10363834.530000003,1.0363834530000002
28,2007-02-12,12000219.77,6000109.885,-14103.820000000764,4349620.825000003,10349730.710000003,1.0349730710000002
29,2007-02-13,10894447.46,5447223.73,98978.1799999997,5001485.160000002,10448708.890000002,1.0448708890000002
30,2007-02-14,10998618.55,5499309.275,81467.41000000027,5030867.025000002,10530176.300000003,1.0530176300000003
31,2007-02-15,12192823.410000002,6096411.705000001,-6638.029999998864,4427126.565000002,10523538.270000003,1.0523538270000004
32,2007-02-16,13292874.82,6646437.41,-8989.110000000801,3868111.750000002,10514549.160000002,1.0514549160000002
33,2007-02-20,14388311.85,7194155.925,38651.529999999795,3359044.7650000015,10553200.690000001,1.0553200690000002
34,2007-02-21,15552077.18,7776038.59,10097.189999999478,2787259.290000001,10563297.88,1.056329788
35,2007-02-22,16678873.030000001,8339436.515000001,18916.529999999795,2242777.8949999996,10582214.41,1.058221441
36,2007-02-23,17822658.63,8911329.315,-176075.06000000006,1494810.0350000001,10406139.35,1.0406139349999999
37,2007-02-26,18621499.82,9310749.91,23457.109999998705,1118846.5499999989,10429596.459999999,1.042959646
38,2007-02-27,19761307.82,9880653.91,-739647.6500000013,-190705.1000000015,9689948.809999999,0.9689948809999999
39,2007-02-28,19379890.990000002,9689945.495000001,283914.4200000019,283917.7349999994,9973863.23,0.9973863230000001
40,2007-03-01,19040996.55,9520498.275,-238711.5700000003,214653.38499999978,9735151.66,0.973515166
41,2007-03-02,16107239.12,8053619.56,62156.8199999989,1743688.919999999,9797308.479999999,0.9797308479999999
42,2007-03-05,14072469.88,7036234.94,-63551.3400000002,2697522.1999999983,9733757.139999999,0.9733757139999999
43,2007-03-06,12211417.090000002,6105708.545000001,-168161.77000000048,3459886.8249999965,9565595.369999997,0.9565595369999997
44,2007-03-07,10609104.16,5304552.08,-74312.28000000026,4186731.009999996,9491283.089999996,0.9491283089999996
45,2007-03-08,9491277.129999999,4745638.5649999995,-101893.31999999983,4643751.204999996,9389389.769999996,0.9389389769999996
46,2007-03-09,9389374.24,4694687.12,43333.99000000022,4738036.639999996,9432723.759999996,0.9432723759999996
47,2007-03-12,9432718.71,4716359.355,-48020.03000000026,4668344.374999996,9384703.729999997,0.9384703729999997
48,2007-03-13,9384691.75,4692345.875,451706.0600000005,5144063.914999997,9836409.789999997,0.9836409789999997
49,2007-03-14,9836395.57,4918197.785,152827.06000000006,5071039.064999998,9989236.849999998,0.9989236849999997
50,2007-03-15,9989222.83,4994611.415,25342.240000000224,5019967.674999998,10014579.089999998,1.0014579089999998
51,2007-03-16,10014564.5,5007282.25,240957.60000000056,5248254.439999998,10255536.689999998,1.0255536689999998
52,2007-03-19,10255523.6,5127761.8,-260822.5700000003,4866952.3199999975,9994714.119999997,0.9994714119999998
53,2007-03-20,9994692.559999999,4997346.279999999,12800.320000000298,5010168.159999998,10007514.439999998,1.0007514439999998
54,2007-03-21,10007508.84,5003754.42,-665568.439999999,4338191.579999998,9341945.999999998,0.9341945999999998
55,2007-03-22,8492643.23,4246321.615,47859.31999999983,5143483.704999998,9389805.319999998,0.9389805319999999
56,2007-03-23,8877616.26,4438808.13,23954.069999999367,4974951.259999997,9413759.389999997,0.9413759389999997
57,2007-03-26,9756046.56,4878023.28,-4001.9899999998743,4531734.119999996,9409757.399999997,0.9409757399999996
58,2007-03-27,10607336.46,5303668.23,18684.120000000345,4124773.2899999972,9428441.519999998,0.9428441519999998
59,2007-03-28,11485531.66,5742765.83,124845.27000000048,3810520.959999999,9553286.79,0.955328679
60,2007-03-29,12506089.74,6253044.87,63452.51000000129,3363694.4300000006,9616739.3,0.9616739300000001
61,2007-03-30,13463425.13,6731712.565,49239.9199999994,2934266.6550000003,9665979.22,0.966597922
62,2007-04-02,13145717.35,6572858.675,-28625.930000000168,3064494.615000001,9637353.290000001,0.9637353290000001
63,2007-04-03,11179316.98,5589658.49,-134992.51999999955,3912702.280000001,9502360.770000001,0.9502360770000001
64,2007-04-04,10832669.320000002,5416334.660000001,133749.74000000022,4219775.850000001,9636110.510000002,0.9636110510000002
65,2007-04-05,10792422.879999999,5396211.4399999995,-46224.88000000082,4193674.1900000013,9589885.63,0.9589885630000001
66,2007-04-09,11507839.82,5753919.91,-47744.96999999927,3788220.750000002,9542140.660000002,0.9542140660000002
67,2007-04-10,11832239.24,5916119.62,48042.729999999516,3674063.7700000005,9590183.39,0.9590183390000001
68,2007-04-11,11891818.33,5945909.165,62375.580000000075,3706649.8050000006,9652558.97,0.965255897
69,2007-04-12,11583050.48,5791525.24,4316.469999999274,3865350.1999999993,9656875.44,0.9656875439999999
70,2007-04-13,10622537.030000001,5311268.515000001,-21545.779999999097,4324061.145,9635329.66,0.963532966
71,2007-04-16,9635312.260000002,4817656.130000001,-11213.079999999842,4806460.449999999,9624116.58,0.9624116580000001
72,2007-04-17,10586514.27,5293257.135,-73867.61000000127,4256991.834999999,9550248.969999999,0.9550248969999999
73,2007-04-18,11460274.459999999,5730137.2299999995,33650.25000000151,3853761.990000001,9583899.22,0.9583899220000001
74,2007-04-19,12459048.21,6229524.105,119178.50000000116,3473553.615000002,9703077.720000003,0.9703077720000003
75,2007-04-20,13584297.39,6792148.695,-32578.50999999931,2878350.5150000025,9670499.210000003,0.9670499210000003
76,2007-04-23,14505728.64,7252864.32,-15344.240000000224,2402290.6500000022,9655154.970000003,0.9655154970000003
77,2007-04-24,15448220.55,7724110.275,33113.60000000009,1964158.2950000018,9688268.570000002,0.9688268570000003
78,2007-04-25,16470030.620000001,8235015.3100000005,-29322.679999999935,1423930.580000002,9658945.890000002,0.9658945890000002
79,2007-04-26,17386085.32,8693042.66,46692.41999999969,1012595.6500000022,9705638.310000002,0.9705638310000002
80,2007-04-27,18440706.43,9220353.215,-36156.02999999921,449129.0650000032,9669482.280000003,0.9669482280000004
81,2007-04-30,19338944.43,9669472.215,7016.140000000654,7026.2050000038,9676498.420000004,0.9676498420000004
82,2007-05-01,18473299.090000004,9236649.545000002,-61649.96999999881,378198.90500000305,9614848.450000005,0.9614848450000005
83,2007-05-02,17481522.650000002,8740761.325000001,71628.15999999992,945715.2850000039,9686476.610000005,0.9686476610000005
84,2007-05-03,16731168.27,8365584.135,153826.45000000112,1474718.9250000063,9840303.060000006,0.9840303060000006
85,2007-05-04,16102298.64,8051149.32,-29043.050000000978,1760110.690000005,9811260.010000005,0.9811260010000006
86,2007-05-07,15162844.280000001,7581422.140000001,-134195.31999999844,2095642.5500000063,9677064.690000007,0.9677064690000007
87,2007-05-08,14075722.379999999,7037861.1899999995,-17967.53999999957,2621235.9600000083,9659097.150000008,0.9659097150000008
88,2007-05-09,13171474.57,6585737.285,54335.42000000086,3127695.2850000076,9713432.570000008,0.9713432570000008
89,2007-05-10,12362530.009999998,6181265.004999999,-85600.33000000007,3446567.2350000087,9627832.240000008,0.9627832240000007
90,2007-05-11,11378326.55,5689163.275,63696.64999999944,4002365.6150000077,9691528.890000008,0.9691528890000009
91,2007-05-14,10572566.71,5286283.355,-8382.39000000013,4396863.145000007,9683146.500000007,0.9683146500000007
92,2007-05-15,9683126.66,4841563.33,38642.15000000037,4880225.320000008,9721788.650000008,0.9721788650000008
93,2007-05-16,10605568.2,5302784.1,70648.47999999952,4489653.030000007,9792437.130000006,0.9792437130000007
94,2007-05-17,11572862.13,5786431.065,-99.63000000000466,4005906.435000005,9792337.500000006,0.9792337500000006
95,2007-05-18,12462965.23,6231482.615,12019.919999999925,3572874.8050000053,9804357.420000006,0.9804357420000005
96,2007-05-21,13369558.739999998,6684779.369999999,-14196.41999999946,3105381.6300000064,9790161.000000006,0.9790161000000006
